id,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,scheduled_service,iata_code,local_code
27112,medium_airport,Port Lincoln Airport,-34.6053009033,135.880004883,36,AU,Port Lincoln,yes,PLO,
27113,medium_airport,Learmonth Airport,-22.2355995178,114.088996887,19,AU,Exmouth,yes,LEA,
27115,medium_airport,Port Macquarie Airport,-31.4358005524,152.863006592,12,AU,Port Macquarie,yes,PQQ,
27116,medium_airport,Portland Airport,-38.3180999755859,141.470993041992,265,AU,,yes,PTJ,
27117,medium_airport,Port Hedland International Airport,-20.3777999878,118.625999451,33,AU,Port Hedland,yes,PHE,
27119,large_airport,Perth International Airport,-31.940299987793,115.967002868652,67,AU,Perth,yes,PER,
27120,medium_airport,Tindal Airport,-14.5211000442505,132.378005981445,443,AU,,no,KTR,
27122,medium_airport,Christmas Island Airport,-10.4506,105.690002,916,CX,Flying Fish Cove,yes,XCH,
27124,medium_airport,Quilpie Airport,-26.6121997833252,144.253005981445,655,AU,,yes,ULP,
27125,medium_airport,Renmark Airport,-34.1963996887207,140.67399597168,115,AU,,no,RMK,
27128,medium_airport,Roma Airport,-26.5450000763,148.774993896,1032,AU,Roma,yes,RMA,
27130,medium_airport,Sydney Bankstown Airport,-33.9244003295898,150.988006591797,29,AU,Sydney,no,BWU,
27131,large_airport,Canberra International Airport,-35.3069000244141,149.195007324219,1886,AU,Canberra,yes,CBR,
27133,medium_airport,Camden Airport,-34.0402984619141,150.686996459961,230,AU,,no,CDU,
27135,medium_airport,Dubbo City Regional Airport,-32.2167015076,148.574996948,935,AU,Dubbo,yes,DBO,
27137,medium_airport,Shark Bay Airport,-25.8938999176,113.577003479,111,AU,Denham,yes,MJK,
27138,medium_airport,Shepparton Airport,-36.4289016723633,145.393005371094,374,AU,,no,SHT,
27139,medium_airport,Smithton Airport,-40.8349990844727,145.083999633789,31,AU,,no,SIO,
27140,medium_airport,Snake Bay Airport,-11.4228000640869,130.654006958008,173,AU,,no,SNB,
27141,medium_airport,Norfolk Island International Airport,-29.041887,167.939616,371,NF,Burnt Pine,yes,NLK,
27142,medium_airport,Nowra Airport,-34.9488983154297,150.537002563477,400,AU,,no,NOA,
27144,medium_airport,RAAF Base Richmond,-33.600601,150.781006,67,AU,Richmond,no,XRH,
27145,large_airport,Sydney Kingsford Smith International Airport,-33.9460983276367,151.177001953125,21,AU,Sydney,yes,SYD,
27147,medium_airport,Tamworth Airport,-31.0839004517,150.847000122,1334,AU,Tamworth,yes,TMW,
27148,medium_airport,Wagga Wagga City Airport,-35.1652984619,147.466003418,724,AU,Wagga Wagga,yes,WGA,
27149,medium_airport,Swan Hill Airport,-35.3758010864258,143.533004760742,234,AU,,no,SWH,
27150,medium_airport,Stawell Airport,-37.0717010498047,142.740997314453,807,AU,,no,SWC,
27152,medium_airport,Telfer Airport,-21.7150001525879,122.228996276855,970,AU,,no,TEF,
27153,medium_airport,Temora Airport,-34.421398,147.511993,921,AU,Temora,no,TEM,
27154,medium_airport,Thargomindah Airport,-27.986400604248,143.811004638672,433,AU,,yes,XTG,
27155,medium_airport,Tibooburra Airport,-29.451099395752,142.057998657227,584,AU,,no,TYB,
27157,medium_airport,Tumut Airport,-35.2627983093262,148.240997314453,878,AU,,no,TUM,
27158,medium_airport,Thangool Airport,-24.4939002990723,150.57600402832,644,AU,Biloela,yes,THG,
27159,medium_airport,Tennant Creek Airport,-19.6343994140625,134.182998657227,1236,AU,Tennant Creek,yes,TCA,
27161,medium_airport,Taree Airport,-31.8885993958,152.514007568,38,AU,Taree,yes,TRO,
27168,medium_airport,Windorah Airport,-25.4130992889404,142.667007446289,452,AU,,yes,WNR,
27169,medium_airport,Wangaratta Airport,-36.4157981872559,146.307006835938,504,AU,,no,WGT,
27170,medium_airport,Whyalla Airport,-33.0588989257812,137.514007568359,41,AU,Whyalla,yes,WYA,
27172,medium_airport,Warracknabeal Airport,-36.3210983276367,142.419006347656,397,AU,,no,WKB,
